Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
54,No,Travel_Rarely,1147.0,Sales,3,3,Marketing,1,303,4,Female,52.0,3,2,Sales Executive,1,Married,5940,17011,7.978304067010459,Y,No,14,3,4,80,1,16,4,3,6,2,0,5
18,No,Non-Travel,287.0,Research & Development,5,2,Life Sciences,1,1012,2,Male,73.0,3,1,Research Scientist,4,Single,1051,13493,-1.5274552096449432,Y,No,15,3,4,80,0,0,2,3,0,0,0,0
56,No,Non-Travel,667.0,Research & Development,1,4,Life Sciences,1,2026,3,Male,57.0,3,2,Healthcare Representative,3,Divorced,6306,26236,6.06468833500467,Y,No,21,4,1,80,1,13,2,2,13,12,1,9
40,No,Travel_Rarely,448.0,Research & Development,16,3,Life Sciences,1,1641,3,Female,84.0,3,3,Manufacturing Director,4,Single,7945,19948,8.677614201752228,Y,Yes,15,3,4,80,0,18,2,2,4,2,3,3
30,No,Travel_Rarely,911.0,Research & Development,1,2,Medical,1,1989,4,Male,76.0,3,1,Laboratory Technician,2,Married,3748,4077,5.890638687954926,Y,No,13,3,3,80,0,12,6,2,12,8,1,7
30,No,Travel_Rarely,,Human Resources,1,3,Life Sciences,1,1499,3,Male,46.0,3,1,Human Resources,3,Divorced,2064,15428,2.9069166558146606,Y,No,21,4,1,80,1,6,3,4,5,3,1,3
30,Yes,Travel_Rarely,,Research & Development,3,3,Technical Degree,1,297,4,Female,88.0,3,1,Research Scientist,1,Single,2657,8556,3.6895207082420796,Y,Yes,11,3,3,80,0,8,5,3,5,2,0,4
18,No,Non-Travel,,Research & Development,1,3,Life Sciences,1,1368,4,Female,97.0,3,1,Laboratory Technician,4,Single,1611,19305,0.13779659961456495,Y,No,15,3,3,80,0,0,5,4,0,0,0,0
28,No,Travel_Rarely,,Sales,5,3,Medical,1,1469,4,Male,84.0,3,2,Sales Executive,1,Single,8463,23490,2.7727126346089244,Y,No,18,3,4,80,0,6,4,3,5,4,1,3
39,No,Travel_Frequently,1218.0,Research & Development,1,1,Life Sciences,1,531,2,Male,52.0,3,5,Manager,3,Divorced,19197,8213,10.189880535085555,Y,Yes,14,3,3,80,1,21,3,3,21,8,1,6
34,No,Travel_Rarely,511.0,Sales,3,2,Life Sciences,1,1779,4,Female,32.0,1,2,Sales Executive,4,Single,6029,25353,2.627954043305435,Y,No,12,3,1,80,0,6,3,3,2,2,2,2
34,No,Travel_Rarely,1303.0,Research & Development,2,4,Life Sciences,1,579,4,Male,62.0,2,1,Research Scientist,3,Divorced,2768,8416,7.719767387095982,Y,No,12,3,3,80,1,14,3,3,7,3,5,7
20,No,Travel_Rarely,,Sales,21,3,Marketing,1,1226,3,Male,43.0,4,1,Sales Representative,4,Single,2678,5050,0.5386323314859756,Y,No,17,3,4,80,0,2,2,3,2,1,2,2
31,No,Travel_Rarely,480.0,Research & Development,7,2,Medical,1,524,2,Female,31.0,3,2,Manufacturing Director,1,Married,4306,4156,7.476063136138276,Y,No,12,3,2,80,1,13,5,1,13,10,3,12
18,Yes,Travel_Frequently,1306.0,Sales,5,3,Marketing,1,614,2,Male,69.0,3,1,Sales Representative,2,Single,1878,8059,-0.4298811870264216,Y,Yes,14,3,4,80,0,0,3,3,0,0,0,0
37,Yes,Travel_Rarely,,Research & Development,11,2,Medical,1,1033,1,Female,61.0,1,2,Healthcare Representative,2,Married,4777,14382,5.498038007855772,Y,No,15,3,1,80,0,15,2,1,1,0,0,0
31,No,Travel_Rarely,,Human Resources,2,3,Human Resources,1,424,1,Male,62.0,2,2,Human Resources,1,Married,6410,17822,4.221408281962997,Y,No,12,3,4,80,0,9,1,3,2,2,1,0
29,No,Travel_Rarely,153.0,Research & Development,15,2,Life Sciences,1,15,4,Female,49.0,2,2,Laboratory Technician,3,Single,4193,12682,6.331513610570595,Y,Yes,12,3,4,80,0,10,3,3,9,5,0,8
33,Yes,Travel_Rarely,211.0,Sales,16,3,Life Sciences,1,1758,1,Female,74.0,3,3,Sales Executive,1,Single,8564,10092,7.1037986774172355,Y,Yes,20,4,3,80,0,11,2,2,0,0,0,0
30,No,Non-Travel,641.0,Sales,25,2,Technical Degree,1,475,4,Female,85.0,3,2,Sales Executive,3,Married,4736,6069,0.636866596708876,Y,Yes,12,3,2,80,1,4,2,4,2,2,2,2
34,No,Travel_Rarely,,Sales,4,3,Life Sciences,1,1882,3,Male,64.0,3,3,Sales Executive,4,Married,9713,24444,4.745159096766147,Y,Yes,13,3,4,80,3,9,3,3,5,3,1,0
41,Yes,Travel_Rarely,1102.0,Sales,1,2,Life Sciences,1,1,2,Female,94.0,3,2,Sales Executive,4,Single,5993,19479,5.384829838802462,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5
29,Yes,Travel_Rarely,408.0,Sales,23,1,Life Sciences,1,1165,4,Female,45.0,2,3,Sales Executive,1,Married,7336,11162,5.38162465158562,Y,No,13,3,1,80,1,11,3,1,11,8,3,10
30,Yes,Travel_Frequently,,Human Resources,8,3,Human Resources,1,1747,3,Female,66.0,2,1,Human Resources,4,Divorced,2180,9732,2.0654375610992246,Y,No,11,3,3,80,1,6,0,2,4,2,1,2
30,No,Travel_Rarely,1288.0,Sales,29,4,Technical Degree,1,1568,3,Male,33.0,3,3,Sales Executive,2,Married,9250,17799,4.197406195352382,Y,No,12,3,2,80,1,9,3,3,4,2,1,3
32,No,Travel_Frequently,1005.0,Research & Development,2,2,Life Sciences,1,8,4,Male,79.0,3,1,Laboratory Technician,4,Single,3068,11864,4.453815888568418,Y,No,13,3,3,80,0,8,2,2,7,7,3,6
31,No,Travel_Rarely,1232.0,Research & Development,7,4,Medical,1,462,3,Female,39.0,3,3,Manufacturing Director,4,Single,7143,25713,6.6877268286089,Y,Yes,14,3,3,80,0,11,2,2,11,9,4,10
43,No,Travel_Rarely,1473.0,Research & Development,8,4,Other,1,526,3,Female,,3,2,Healthcare Representative,3,Divorced,4522,2227,4.321817272032376,Y,Yes,14,3,4,80,0,8,3,3,5,2,0,2
36,No,Travel_Rarely,,Sales,2,2,Medical,1,513,2,Male,61.0,2,3,Sales Executive,3,Married,7596,3809,4.099262048778124,Y,No,13,3,2,80,2,10,2,3,10,9,9,0
21,No,Travel_Rarely,501.0,Sales,5,1,Medical,1,2021,3,Male,58.0,3,1,Sales Representative,1,Single,2380,25479,0.8606218927248053,Y,Yes,11,3,4,80,0,2,6,3,2,2,1,2
18,Yes,Non-Travel,247.0,Research & Development,8,1,Medical,1,1156,3,Male,80.0,3,1,Laboratory Technician,3,Single,1904,13556,-0.7719614125232044,Y,No,12,3,4,80,0,0,0,3,0,0,0,0
34,No,Travel_Frequently,878.0,Research & Development,10,4,Medical,1,277,4,Male,43.0,3,1,Research Scientist,3,Divorced,3815,5972,2.6212043477010885,Y,Yes,17,3,4,80,1,5,4,4,5,3,2,0
44,Yes,Travel_Rarely,,Research & Development,10,4,Life Sciences,1,1200,3,Male,96.0,3,1,Research Scientist,3,Single,2936,10826,4.652856271677123,Y,Yes,11,3,3,80,0,6,4,3,6,4,0,2
39,No,Travel_Frequently,505.0,Research & Development,2,4,Technical Degree,1,343,3,Female,64.0,3,3,Healthcare Representative,3,Single,10938,6420,7.49402090766093,Y,No,25,4,4,80,0,20,1,3,19,6,11,8
35,Yes,Travel_Rarely,,Sales,10,3,Medical,1,1639,4,Male,55.0,2,3,Sales Executive,1,Married,10306,21530,9.466625783163046,Y,No,17,3,3,80,0,15,3,3,13,12,6,0
27,No,Non-Travel,1450.0,Research & Development,3,3,Medical,1,224,3,Male,79.0,2,1,Research Scientist,3,Divorced,2566,25326,-0.644175430027426,Y,Yes,15,3,4,80,1,1,2,2,1,1,0,1
31,No,Travel_Rarely,691.0,Research & Development,5,4,Technical Degree,1,423,3,Male,86.0,3,1,Research Scientist,4,Married,4821,10077,4.244057715005915,Y,Yes,12,3,3,80,1,6,4,3,5,2,0,3
25,Yes,Travel_Rarely,1219.0,Research & Development,4,1,Technical Degree,1,1106,4,Male,32.0,3,1,Laboratory Technician,4,Married,3691,4605,2.8552307099398364,Y,Yes,15,3,2,80,1,7,3,4,7,7,5,6
38,No,Travel_Rarely,1206.0,Research & Development,9,2,Life Sciences,1,1940,2,Male,71.0,3,1,Research Scientist,4,Divorced,4771,14293,6.230073299536553,Y,No,19,3,4,80,2,10,0,4,5,2,0,3
58,No,Travel_Rarely,1272.0,Research & Development,5,3,Technical Degree,1,940,3,Female,37.0,2,3,Healthcare Representative,2,Divorced,10552,9255,10.68119395063984,Y,Yes,13,3,4,80,1,24,3,3,6,0,0,4
27,No,Travel_Rarely,1134.0,Research & Development,16,4,Technical Degree,1,1001,3,Female,37.0,3,1,Laboratory Technician,2,Married,2811,12086,1.7452372473211777,Y,No,14,3,2,80,1,4,2,3,2,2,2,2
20,Yes,Travel_Rarely,,Research & Development,11,3,Medical,1,1016,4,Female,98.0,2,1,Research Scientist,1,Single,2600,18275,0.3528564223839953,Y,Yes,15,3,1,80,0,1,2,3,1,0,0,0
23,No,Travel_Rarely,,Research & Development,10,3,Technical Degree,1,1592,4,Male,45.0,4,1,Research Scientist,3,Married,2073,12826,1.1668859519749137,Y,No,16,3,4,80,1,4,2,3,2,2,2,2
45,No,Travel_Rarely,,Sales,2,3,Other,1,606,4,Male,61.0,3,2,Sales Executive,2,Married,4805,16177,3.4577542157547154,Y,No,19,3,2,80,1,9,3,4,8,7,3,7
45,No,Travel_Rarely,,Research & Development,2,2,Other,1,1635,4,Female,,2,2,Manufacturing Director,4,Divorced,5770,5388,2.7487374446622876,Y,No,19,3,1,80,2,10,3,3,10,7,3,9
35,No,Travel_Rarely,,Research & Development,1,3,Medical,1,1369,4,Female,60.0,2,2,Laboratory Technician,4,Married,5363,10846,5.515767715085853,Y,No,12,3,2,80,1,10,0,3,9,7,0,0
39,No,Travel_Frequently,,Research & Development,4,3,Medical,1,1633,1,Female,81.0,3,2,Manufacturing Director,3,Single,5042,3140,2.3927579864147472,Y,No,13,3,4,80,0,10,2,1,9,2,3,8
31,No,Travel_Frequently,,Research & Development,1,1,Life Sciences,1,1011,3,Female,96.0,3,2,Manufacturing Director,1,Married,4148,11275,1.5041280993798822,Y,No,12,3,3,80,1,4,1,3,4,3,0,3
32,No,Non-Travel,976.0,Sales,26,4,Marketing,1,333,3,Male,100.0,3,2,Sales Executive,4,Married,4465,12069,1.1094116056502124,Y,No,18,3,1,80,0,4,2,3,3,2,2,2
41,No,Travel_Frequently,1018.0,Sales,1,3,Marketing,1,1349,3,Female,66.0,3,2,Sales Executive,1,Divorced,4103,4297,5.141105899851408,Y,No,17,3,4,80,1,10,2,3,9,3,1,7
24,No,Travel_Rarely,,Sales,10,4,Marketing,1,507,4,Female,77.0,3,2,Sales Executive,3,Divorced,4260,5915,3.2269313951037155,Y,Yes,12,3,4,80,1,5,2,4,5,2,0,3
44,No,Travel_Rarely,,Research & Development,8,4,Life Sciences,1,874,1,Male,62.0,4,1,Laboratory Technician,4,Married,2818,5044,4.392239317241884,Y,Yes,24,4,3,80,1,10,2,2,3,2,0,2
33,No,Travel_Rarely,,Sales,10,4,Marketing,1,1924,2,Male,43.0,3,2,Sales Executive,3,Single,5487,10410,6.168604355916207,Y,No,14,3,2,80,0,10,2,2,10,4,0,9
25,No,Travel_Rarely,,Sales,4,1,Marketing,1,885,3,Male,87.0,2,2,Sales Executive,1,Married,4256,18154,2.419477159229665,Y,No,12,3,1,80,0,5,1,4,5,2,0,3
30,No,Travel_Rarely,1358.0,Research & Development,24,1,Life Sciences,1,11,4,Male,67.0,3,1,Laboratory Technician,3,Divorced,2693,13335,1.3779427085180886,Y,No,22,4,2,80,1,1,2,3,1,0,0,0
46,No,Travel_Rarely,734.0,Research & Development,2,4,Medical,1,1789,3,Male,46.0,3,5,Research Director,4,Divorced,19328,14218,10.969512895721763,Y,Yes,17,3,3,80,1,24,3,3,2,1,2,2
43,No,Travel_Frequently,313.0,Research & Development,21,3,Medical,1,525,4,Male,61.0,3,1,Laboratory Technician,4,Married,2258,15238,4.668622633909149,Y,No,20,4,1,80,1,8,1,3,3,2,1,2
34,No,Travel_Frequently,,Research & Development,1,3,Medical,1,1184,4,Male,97.0,2,2,Healthcare Representative,1,Single,5343,25755,7.376319184959485,Y,No,20,4,3,80,0,14,3,3,13,9,4,9
29,No,Travel_Frequently,1413.0,Sales,1,1,Medical,1,312,2,Female,42.0,3,3,Sales Executive,4,Married,7918,6599,7.228694828374044,Y,No,14,3,4,80,1,11,5,3,11,10,4,1
35,No,Non-Travel,1180.0,Research & Development,2,2,Medical,1,1804,2,Male,90.0,3,2,Manufacturing Director,4,Divorced,5762,24442,6.366387304936904,Y,No,14,3,3,80,1,15,6,3,7,7,1,7
30,Yes,Travel_Frequently,,Research & Development,5,3,Medical,1,1017,2,Female,60.0,3,1,Laboratory Technician,2,Single,2422,25725,1.2529071560337277,Y,No,17,3,1,80,0,4,3,3,3,2,1,2
40,No,Travel_Rarely,,Research & Development,2,2,Medical,1,352,1,Male,49.0,3,5,Research Director,3,Divorced,19436,5949,10.675117715888469,Y,No,19,3,4,80,1,22,5,3,21,7,3,9
38,No,Travel_Rarely,688.0,Research & Development,23,4,Life Sciences,1,393,4,Male,82.0,3,2,Healthcare Representative,4,Divorced,5745,18899,4.238085959345443,Y,No,14,3,2,80,1,10,2,3,2,2,1,2
23,No,Travel_Rarely,,Research & Development,26,1,Life Sciences,1,465,3,Male,,3,1,Research Scientist,4,Divorced,2904,16092,0.9893079525764836,Y,No,12,3,3,80,2,4,2,2,4,2,0,2
43,No,Travel_Frequently,775.0,Sales,15,3,Life Sciences,1,754,4,Male,47.0,2,2,Sales Executive,4,Married,6804,23683,4.924452394701918,Y,No,18,3,3,80,1,7,5,3,2,2,2,2
38,No,Travel_Rarely,243.0,Sales,7,4,Marketing,1,709,4,Female,,2,2,Sales Executive,4,Single,4028,7791,4.849769409571469,Y,No,20,4,1,80,0,8,2,3,7,7,0,5
22,No,Travel_Rarely,217.0,Research & Development,8,1,Life Sciences,1,1019,2,Male,,1,1,Laboratory Technician,1,Married,2451,6881,1.1918160203146666,Y,No,15,3,1,80,1,4,3,2,4,3,1,1
29,No,Travel_Rarely,1107.0,Research & Development,28,4,Life Sciences,1,1120,3,Female,93.0,3,1,Research Scientist,4,Divorced,2514,26968,4.304055461009608,Y,No,22,4,1,80,1,11,1,3,7,5,1,7
33,Yes,Travel_Frequently,,Research & Development,29,4,Medical,1,1101,1,Female,54.0,2,2,Research Scientist,3,Single,4508,3129,6.950717511180782,Y,No,22,4,2,80,0,14,4,3,13,7,3,8
33,No,Non-Travel,,Research & Development,4,3,Technical Degree,1,1771,4,Male,90.0,3,2,Research Scientist,2,Divorced,3055,6194,6.3090377198115535,Y,No,15,3,4,80,2,11,2,2,9,8,1,7
18,Yes,Travel_Rarely,230.0,Research & Development,3,3,Life Sciences,1,405,3,Male,54.0,3,1,Laboratory Technician,3,Single,1420,25233,-0.799443649293056,Y,No,13,3,3,80,0,0,2,3,0,0,0,0
36,No,Non-Travel,427.0,Research & Development,8,3,Life Sciences,1,742,1,Female,63.0,4,3,Research Director,1,Married,11713,20335,5.401509031069883,Y,No,14,3,1,80,1,10,2,3,8,7,0,5
40,No,Travel_Rarely,118.0,Sales,14,2,Life Sciences,1,1598,4,Female,84.0,3,2,Sales Executive,1,Married,4639,11262,1.7272680756974448,Y,No,15,3,3,80,1,5,2,3,5,4,1,2
46,No,Travel_Rarely,,Sales,10,3,Marketing,1,580,3,Female,94.0,2,3,Sales Executive,4,Married,9071,11563,4.931027735574822,Y,Yes,19,3,3,80,1,15,3,3,3,2,1,2
32,No,Travel_Rarely,495.0,Research & Development,10,3,Medical,1,1516,3,Male,64.0,3,3,Manager,4,Single,11244,21072,4.16951118559439,Y,No,25,4,2,80,0,10,5,4,5,2,0,0
32,Yes,Travel_Rarely,1033.0,Research & Development,9,3,Medical,1,190,1,Female,41.0,3,1,Laboratory Technician,1,Single,4200,10224,3.728174911588069,Y,No,22,4,1,80,0,10,2,4,5,4,0,4
37,Yes,Travel_Rarely,,Human Resources,6,4,Human Resources,1,133,3,Male,63.0,3,1,Human Resources,1,Divorced,2073,23648,3.5851558891898407,Y,Yes,22,4,4,80,0,7,3,3,3,2,0,2
55,No,Travel_Rarely,,Research & Development,2,3,Medical,1,1770,3,Male,60.0,2,5,Research Director,1,Married,19038,19805,16.010600917366375,Y,No,12,3,2,80,3,34,2,3,1,0,0,0
47,No,Travel_Rarely,,Research & Development,9,4,Life Sciences,1,1856,2,Female,64.0,3,1,Laboratory Technician,3,Single,2105,5411,2.038481181205606,Y,No,12,3,3,80,0,7,2,3,2,2,2,0
34,No,Non-Travel,,Research & Development,26,1,Technical Degree,1,1374,1,Female,,2,1,Research Scientist,3,Divorced,2029,15891,2.919927033890492,Y,No,20,4,3,80,3,5,2,3,5,4,0,0
50,Yes,Travel_Frequently,,Sales,8,2,Technical Degree,1,723,2,Male,50.0,3,2,Sales Executive,3,Married,6796,23452,8.296007145489744,Y,Yes,14,3,1,80,1,18,4,3,4,3,1,3
43,No,Travel_Rarely,589.0,Research & Development,14,2,Life Sciences,1,843,2,Male,94.0,3,4,Research Director,1,Married,17159,5200,11.696465694282487,Y,No,24,4,3,80,1,22,3,3,4,1,1,0
35,No,Travel_Rarely,,Research & Development,21,1,Life Sciences,1,942,4,Female,51.0,3,2,Healthcare Representative,4,Married,4014,19170,4.816608778130196,Y,Yes,25,4,4,80,1,10,2,1,10,6,0,7
29,Yes,Travel_Rarely,350.0,Human Resources,13,3,Human Resources,1,1844,1,Male,56.0,2,1,Human Resources,1,Divorced,2335,3157,4.253456323607891,Y,Yes,15,3,4,80,3,4,3,3,2,2,2,0
26,No,Travel_Rarely,1355.0,Human Resources,25,1,Life Sciences,1,177,3,Female,61.0,3,1,Human Resources,3,Married,2942,8916,2.8323321051444914,Y,No,23,4,4,80,1,8,3,3,8,7,5,7
33,No,Non-Travel,,Sales,16,3,Life Sciences,1,1681,3,Female,36.0,3,2,Sales Executive,4,Divorced,5368,16130,3.5701590558434773,Y,Yes,25,4,3,80,1,7,2,3,6,5,1,2
25,No,Travel_Rarely,180.0,Research & Development,2,1,Medical,1,854,1,Male,65.0,4,1,Research Scientist,1,Single,3424,21632,2.872649144053157,Y,No,13,3,3,80,0,6,3,2,4,3,0,1
35,No,Travel_Frequently,,Sales,18,5,Life Sciences,1,74,2,Male,71.0,3,3,Sales Executive,1,Married,9069,11031,5.526779786727925,Y,No,22,4,4,80,1,9,3,2,9,8,1,8
47,Yes,Non-Travel,666.0,Research & Development,29,4,Life Sciences,1,376,1,Male,88.0,3,3,Manager,2,Married,11849,10268,4.186627273059477,Y,Yes,12,3,4,80,1,10,2,2,10,7,9,9
